time_ms,distance_mm,PIDOut,error
Driver will be enabled in 2000 ms if position is at mechanical zero...
Driver enabled. Microsteps: 16
5855,27,0.077774,93.00
5861,27,0.037110,93.00
5880,27,0.037113,93.00
5899,28,-0.064329,92.00
5919,27,0.133119,93.00
5939,29,-0.155662,91.00
5958,27,0.239230,93.00
5977,27,0.037127,93.00
5998,29,-0.146511,91.00
6017,29,0.036349,91.00
6036,26,0.340686,94.00
6057,28,-0.146110,92.00
6076,28,0.036750,92.00
6095,26,0.239642,94.00
6115,27,-0.058852,93.00
6135,27,0.037151,93.00
6154,29,-0.165736,91.00
6174,30,-0.060020,90.00
6194,28,0.228767,92.00
6213,27,0.138215,93.00
6233,25,0.229949,95.00
6252,26,-0.063492,94.00
6273,28,-0.146078,92.00
6292,29,-0.064663,91.00
6311,30,-0.065052,90.00
6331,27,0.325180,93.00
6351,28,-0.059209,92.00
6370,27,0.138238,93.00
6390,27,0.037188,93.00
6409,27,0.037191,93.00
6429,29,-0.155590,91.00
6449,26,0.325589,94.00
6468,29,-0.266742,91.00
6488,29,0.036419,91.00
6508,26,0.325598,94.00
6527,26,0.037601,94.00
6547,27,-0.058788,93.00
6567,28,-0.059177,92.00
6586,28,0.036825,92.00
6605,27,0.138273,93.00
6626,28,-0.054597,92.00
6645,27,0.138279,93.00
6665,27,0.037229,93.00
6684,28,-0.064213,92.00
6704,26,0.229627,94.00
6724,29,-0.251546,91.00
6743,29,0.036457,91.00
6763,26,0.325636,94.00
6783,29,-0.251537,91.00
6802,26,0.340799,94.00
6822,30,-0.347924,90.00
6841,27,0.340413,93.00
6861,30,-0.251918,90.00
6881,27,0.325261,93.00
6900,29,-0.165625,91.00
6919,27,0.239372,93.00
6940,28,-0.054551,92.00
6959,27,0.138325,93.00
6979,27,0.037275,93.00
6998,28,-0.064166,92.00
7018,29,-0.059503,91.00
7037,26,0.340834,94.00
7057,28,-0.155105,92.00
7077,26,0.229682,94.00
7097,29,-0.251491,91.00
7116,28,0.137956,92.00
7136,28,0.036907,92.00
7156,26,0.229694,94.00
7175,27,-0.063748,93.00
7195,27,0.037307,93.00
7214,27,0.037310,93.00
7234,24,0.326489,96.00
7254,28,-0.347076,92.00
7273,29,-0.064518,91.00
7293,27,0.229322,93.00
7313,27,0.037325,93.00
7332,27,0.037328,93.00
7351,30,-0.267003,90.00
7372,29,0.127978,91.00
7391,27,0.239442,93.00
7410,28,-0.064105,92.00
7430,27,0.133342,93.00
7450,29,-0.155439,91.00
7469,28,0.138009,92.00
7489,27,0.133351,93.00
7508,27,0.037354,93.00
