6,0.001798,54.00
11153,66,0.001800,54.00
11173,68,-0.013459,52.00
11193,67,0.009380,53.00
11212,66,0.009807,54.00
11232,68,-0.013456,52.00
11252,66,0.017013,54.00
11271,70,-0.030314,50.00
11291,70,0.001704,50.00
11310,65,0.041856,55.00
11330,65,0.001836,55.00
11350,69,-0.028682,51.00
11369,67,0.017795,53.00
11389,67,0.001788,53.00
11408,65,0.017849,55.00
11428,69,-0.028678,51.00
11447,70,-0.006291,50.00
11467,66,0.032234,54.00
11487,66,0.001820,54.00
11506,67,-0.006209,53.00
11526,63,0.032316,57.00
11546,67,-0.028618,53.00
11565,65,0.017859,55.00
11585,62,0.024742,58.00
11605,64,-0.013328,56.00
11624,66,-0.014180,54.00
11644,63,0.024720,57.00
11664,63,0.001909,57.00
11683,61,0.017971,59.00
11703,62,-0.005666,58.00
11722,58,0.034060,62.00
11742,59,-0.005585,61.00
11762,60,-0.005610,60.00
11781,56,0.034117,64.00
11801,54,0.017362,66.00
11820,54,0.002155,66.00
11840,55,-0.005473,65.00
11859,56,-0.005898,64.00
11879,52,0.032627,68.00
11899,50,0.017473,70.00
11918,50,0.002267,70.00
11938,48,0.017529,72.00
11958,50,-0.012937,70.00
11977,51,-0.005758,69.00
11997,50,0.009877,70.00
12017,53,-0.020615,67.00
12036,48,0.042349,72.00
12056,50,-0.012930,70.00
12076,51,-0.005350,69.00
12095,53,-0.013805,67.00
12115,52,0.009835,68.00
12134,52,0.002232,68.00
12154,55,-0.020656,65.00
12173,56,-0.005873,64.00
12193,59,-0.020758,61.00
12213,56,0.024945,64.00
12232,60,-0.029986,60.00
12252,58,0.017292,62.00
12272,62,-0.028434,58.00
12291,62,0.001982,58.00
12311,64,-0.013276,56.00
12331,67,-0.020957,53.00
12350,65,0.017916,55.00
12370,73,-0.059131,47.00
12389,72,0.009732,48.00
12409,68,0.032249,52.00
12428,73,-0.038317,47.00
12448,74,-0.005925,46.00
12468,74,0.001680,46.00
12487,79,-0.038470,41.00
12507,75,0.032071,45.00
12527,79,-0.028864,41.00
12546,76,0.025644,44.00
12566,77,-0.005998,43.00
12585,75,0.017667,45.00
12605,78,-0.021230,42.00
12625,75,0.024473,45.00
12644,74,0.009692,46.00
12664,76,-0.013571,44.00
12684,77,-0.005992,43.00
12703,77,0.001613,43.00
12723,76,0.009244,44.00
12742,80,-0.030480,40.00
12762,77,0.024428,43.00
12782,77,0.001617,43.00
12801,77,0.001618,43.00
12821,74,0.024509,46.00
12840,75,-0.006332,45.00
12860,77,-0.013587,43.00
12880,76,0.009252,44.00
12899,75,0.009679,45.00
12919,77,-0.013584,43.00
12938,75,0.017685,45.00
12958,80,-0.036472,40.00
12977,76,0.033669,44.00
12997,76,0.001654,44.00
13017,75,0.009285,45.00
13036,77,-0.014379,43.00
13056,76,0.009261,44.00
13076,75,0.009288,45.00
13095,76,-0.006345,44.00
13115,80,-0.028860,40.00
13135,74,0.047336,46.00
13154,77,-0.022377,43.00
13174,76,0.009267,44.00
13193,81,-0.038487,39.00
13213,77,0.032054,43.00
13233,75,0.016899,45.00
13252,75,0.001693,45.00
13272,80,-0.036456,40.00
13291,78,0.017624,42.00
13311,77,0.009247,43.00
13331,76,0.009274,44.00
13350,75,0.009702,45.00
13370,78,-0.021192,42.00
13390,77,0.009251,43.00
13409,78,-0.006382,42.00
13429,75,0.024513,45.00
13448,75,0.001702,45.00
13468,75,0.001703,45.00
13488,75,0.001704,45.00
13507,77,-0.014355,43.00
13527,74,0.024544,46.00
13546,77,-0.022357,43.00
13566,76,0.009286,44.00
13586,75,0.009313,45.00
13605,75,0.001710,45.00
13625,80,-0.036439,40.00
13644,75,0.041733,45.00
13664,77,-0.013547,43.00
13683,76,0.009692,44.00
13703,75,0.009319,45.00
13723,78,-0.021174,42.00
13742,76,0.017699,44.00
13762,76,0.001692,44.00
13782,73,0.024583,47.00
13801,76,-0.022318,44.00
13821,75,0.009325,45.00
13840,78,-0.022368,42.00
13860,81,-0.021245,39.00
13880,77,0.032088,43.00
13899,75,0.017733,45.00
13919,76,-0.005904,44.00
13938,78,-0.014359,42.00
13958,77,0.009280,43.00
13978,76,0.009307,44.00
13997,75,0.009734,45.00
14017,76,-0.005899,44.00
14037,75,0.009336,45.00
14056,77,-0.014327,43.00
14076,79,-0.013578,41.00
14095,79,0.001630,41.00
14115,73,0.047411,47.00
14135,80,-0.051621,40.00
14154,74,0.049789,46.00
14174,78,-0.028755,42.00
14193,76,0.017722,44.00
14213,80,-0.028805,40.00
14233,75,0.039761,45.00
14252,78,-0.022348,42.00
14272,77,0.009295,43.00
14292,78,-0.005938,42.00
14311,77,0.009697,43.00
14331,79,-0.013566,41.00
14350,74,0.041794,46.00
14370,75,-0.005855,45.00
14389,72,0.025840,48.00
14409,77,-0.036321,43.00
14429,73,0.032219,47.00
14448,73,0.001805,47.00
14468,71,0.017066,49.00
14488,74,-0.021031,46.00
14507,70,0.033903,50.00
14527,70,0.001887,50.00
14547,67,0.024779,53.00
14566,68,-0.006062,52.00
14586,66,0.017203,54.00
14605,65,0.010027,55.00
14625,62,0.024914,58.00
14644,59,0.026194,61.00
14664,60,-0.005447,60.00
14684,60,0.002159,60.00
14703,56,0.034281,64.00
14723,58,-0.012994,62.00
14743,59,-0.005415,61.00
14762,60,-0.005840,60.00
14782,57,0.025055,63.00
14802,57,0.002245,63.00
14821,59,-0.013814,61.00
14841,56,0.025086,64.00
14860,58,-0.013785,62.00
14880,60,-0.013035,60.00
14899,60,0.002174,60.00
14919,58,0.017435,62.00
14939,61,-0.020661,59.00
14958,60,0.010182,60.00
14978,61,-0.005451,59.00
14998,63,-0.013105,57.00
15017,63,0.002104,57.00
15037,63,0.002105,57.00
15057,62,0.009736,58.00
15076,68,-0.046048,52.00
15096,64,0.032498,56.00
15115,69,-0.038067,51.00
15135,69,0.001954,51.00
